Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.204068996857784,0.196674687276124,0.269536522196903,0,0,0,11.1812590354434,0.395770367096526,0.00130010297354412,-4.42738970032154E-05,0.271389565592583,-0.00731814430780011,0.420095208167645,0,0,0,0,0,0,package://completedesign/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://completedesign/meshes/base_link.STL,,3rd design-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
wheel1,-0.00669733104394164,0,0,0,0,0,0.512281743012307,0.00170829050275458,-6.58393295286078E-20,-1.05343668637244E-19,0.000890721591291776,0,0.000890721591291776,0,0,0,0,0,0,package://completedesign/meshes/wheel1.STL,1,1,1,1,0,0,0,0,0,0,package://completedesign/meshes/wheel1.STL,,badwheel-2,,,base_to_wheel1,continuous,0,-0.25716,0.014503,0.67337,0,3.1416,base_link,1,0,0,,,,,,,,,,,,0
wheel2,0.0143445857794095,1.38777878078145E-17,0,0,0,0,0.512281743012307,0.00170829050275458,3.01235912530127E-21,2.36628414501854E-20,0.000890721591291776,-2.71050543121376E-20,0.000890721591291777,0,0,0,0,0,0,package://completedesign/meshes/wheel2.STL,1,1,1,1,0,0,0,0,0,0,package://completedesign/meshes/wheel2.STL,,badwheel-1,,,base_to_wheel2,continuous,0.37104,-0.25751,0.0095031,1.9085,0,0,base_link,1,0,0,,,,,,,,,,,,0
